Latitude,Longitude,Name,Street,City,State,Zip Code
39.7862,-86.15797,Catholic Charities Indianapolis,1400 North Meridian Street,Indianapolis,IN,46202
39.76493,-86.20696,Vida Nueva United Methodist Church - Centro Familiar,2801 West Washington Street,Indianapolis,IN,46222
39.77318,-86.13031,Westminster Neighborhood Services,445 North State Avenue,Indianapolis,IN,46201
39.776978,-86.153421,Central Christian Church,701 North Delaware Street,Indianapolis,IN,46204
39.79265,-86.29018,Chapel Rock Christian Church,2020 North Girls School Road,Indianapolis,IN,46214
39.78783,-86.13518,New Bethel Missionary Baptist Church,1535 Dr. Andrew J. Brown Avenue,Indianapolis,IN,46202
39.87817,-86.18737,Christ Church Apostolic,6601 North Grandview Drive,Indianapolis,IN,46260
39.80216,-86.17427,Promise Land Christian Community Church,802 Edgemont Avenue,Indianapolis,IN,46208
39.775,-86.09319,Linwood Christian Church,4424 East Michigan Street,Indianapolis,IN,46201
39.64132,-86.13214,Christ United Methodist Church,8540 US 31 S,Indianapolis,IN,46227
39.7039344,-86.0086846,God's Bounty Food Pantry,8946 Southeastern Avenue,Indianapolis,IN,46239
39.83995,-86.1308,Divine Direction Christian Church,1733 East 46th Street,Indianapolis,IN,46205
39.78799,-86.07362,Lutheran Child And Family Services,1525 North Ritter Avenue,Indianapolis,IN,46219
39.83366,-86.27115,Salvation Army Eagle Creek Corps,4400 North High School Road,Indianapolis,IN,46254
39.749252,-86.139415,Salvation Army Fountain Square Corps,1337 South Shelby Street,Indianapolis,IN,46203
39.759975,-86.10919,Hope And Help Center,3312 East English Avenue,Indianapolis,IN,46201
39.8335077,-86.2468952,Harvest Prayer Center,5062 Pike Plaza Road,Indianapolis,IN,46254
39.7236924,-86.2252285,Community Caring And Sharing,2830 South Holt Road,Indianapolis,IN,46241
39.86205,-86.26994,Eagle Creek Community Church,5943 Lafayette Road,Indianapolis,IN,46254
39.76691,-86.26427,Lakeview Church,47 Beachway Drive,Indianapolis,IN,46224
39.79329,-86.18706,Ebenezer Baptist Church,1901 North Harding Street,Indianapolis,IN,46202
39.76844,-86.07616,Irvington Churches Advocacy Network (ICAN),111 South Downey Avenue,Indianapolis,IN,46219
39.80561,-86.14517,"Nu Corinthian Baptist Church - Inner City Ministry, Sanctity Of Salvation",2700 North College Avenue,Indianapolis,IN,46205
39.77789,-86.2882,Chapel Hill United Methodist Church,963 North Girls School Road,Indianapolis,IN,46214
39.78097,-86.15625,Hoosier Veterans Assistance Foundation (HVAF),964 North Pennsylvania Street,Indianapolis,IN,46204
39.839324,-86.008653,Turning Point Family Worship Center,4501 North Post Road,Indianapolis,IN,46226
39.8853,-86.21197,Fay Biccard Glick Neighborhood Center At Crooked Creek,2990 West 71st Street,Indianapolis,IN,46268
39.76298,-86.03935,Cornerstone Family Worship Center,431 South Shortridge Road,Indianapolis,IN,46219
39.81848,-86.09824,Miracles And Blessings,4062 East 34th Street,Indianapolis,IN,46218
39.86806,-86.14279,Broad Ripple United Methodist Church,6185 Guilford Avenue,Indianapolis,IN,46220
39.7515,-86.19499,Mary Rigg Neighborhood Center,1920 West Morris Street,Indianapolis,IN,46221
39.808595,-86.259254,Saint John's Episcopal Church,5625 West 30th Street,Indianapolis,IN,46224
39.82285,-86.23595,New Wineskin Ministries,4501 West 38th Street,Indianapolis,IN,46254
39.87056,-86.11586,Glendale Seventh-Day Adventist Church,2900 East 62nd Street,Indianapolis,IN,46220
39.82689,-86.15619,Boys & Girls Clubs Of Indianapolis,3909 North Meridian Street Suite 100,Indianapolis,IN,46208
39.8029,-86.11894,Edna Martin Christian Center,2605 East 25th Street,Indianapolis,IN,46218
39.7057434,-86.0708279,Servant's Heart Of Indy,5602 Elmwood Avenue Suite 212,Indianapolis,IN,46203
39.74545,-86.13137,Jesus Inside Prison Ministry,1634 East Minnesota Street,Indianapolis,IN,46203
39.78053,-86.15614,Metro Baptist Center,952 North Pennsylvania Street,Indianapolis,IN,46204
